category_name,item_id,item_name,price,item_code,barcode,tags,inventory_tags
HEAL HOME STORE NEW,2947848,SERVICE CHARGE,35.0,"","","",""
BREAKFAST SET MENU,2740297,Set-Beetroot Avo,0.0,"","","",""
BREAKFAST SET MENU,2740301,SET-Blueberry Muffin,0.0,"","","",""
BREAKFAST SET MENU,2740299,SET-Burrito,0.0,"","","",""
BREAKFAST SET MENU,2740282,SET-Cappucino,0.0,"","","",""
BREAKFAST SET MENU,2740280,SET-Earl Gray Tea,0.0,"","","",""
BREAKFAST SET MENU,2740275,SET-English Breakfast Tea,0.0,"","","",""
BREAKFAST SET MENU,2740288,SET-Espresso,0.0,"","","",""
BREAKFAST SET MENU,2740286,Set-Flatwhite,0.0,"","","",""
BREAKFAST SET MENU,2740277,SET-Green Tea,0.0,"","","",""
BREAKFAST SET MENU,2740293,Set-Heals BREAKFAST,0.0,"","","",""
BREAKFAST SET MENU,2740284,Set-Latte Coffee,0.0,"","","",""
BREAKFAST SET MENU,2740290,SET-Spanish Latte,0.0,"","","",""
BREAKFAST SET MENU,2740291,SET-Still Large,0.0,"","","",""
BREAKFAST SET MENU,2740295,SET-Sweet Potato,0.0,"","","",""
BREAKFAST SET MENU,2740300,SET-Turkish Eggs,0.0,"","","",""
ALRON,3193105,SHAHEEN,250.0,"","","",""
Cold Coffee,2435082,Shakerato,25.0,"","","",""
Coffee,1282299,SHAKERATTO,28.57,"","","",Recipe
Breakfast,1612772,Shakshouka,59.0,"","","",Recipe
Our Breakfast,2987891,Shakshoukah,52.0,"","","",""
Flatbreads,2947604,Short Ribs,64.0,"","","",""
Sharing,2878474,Shrimp Tacos,56.0,"","","",""
Add- Ons,1216896,Side Salad,10.0,"","","",Recipe
ATHAR,3193736,SIJJADA,110.0,"","","",""
Add- Ons,1216863,Sliced Avocado,13.0,"","","",Recipe
Add- Ons,2435149,Sliced Black Truffle,25.0,"","","",""
Add- Ons,2433580,Sliced Truffle In OIL,20.0,"","","",""
ACCESSORIES,2732603,SLIPPERS CREAM,130.0,"","","",""
ACCESSORIES,2732604,SLIPPERS DUST PINK,130.0,"","","",""
ACCESSORIES,2732602,SLIPPERS GREY,130.0,"","","",""
HEAL HOME STORE NEW,1686338,SMALL BOX,45.0,"","","",""
HEAL HOME STORE NEW,1932237, SMALL FLOWER,15.0,"","","",""
HEAL HOME STORE NEW,1603290,SMALL SQUEEZE VASE,295.0,"","","",""
MESHTAKHA,3193111,SMALL TISSUE BOX( BEIGE),85.0,"","","",""
MESHTAKHA,3193114,SMALL TISSUE BOX( BROWN),85.0,"","","",""
MESHTAKHA,3193115,SMALL TISSUE BOX( GRAY),85.0,"","","",""
Add- Ons,1792913,Smoked Salmon,25.0,"","","",Recipe
RQ PERFUMES,3196141,SOFPHIA (180ML),280.0,"","","",""
Add- Ons,1216833,Sourdough,4.0,"","","",Recipe
